year,month,month_name,total_trips,date,month_id,avg_rainfall_mm,total_rainfall_mm,rainy_days,avg_max_temp,avg_min_temp
2024,2,February,55191859.39000001,2024-02-01,2024-02,5.068965517241379,147.0,10,28.07241379310345,20.32758620689655
2024,3,March,57938017.919999994,2024-03-01,2024-03,1.5870967741935482,49.199999999999996,8,27.29032258064516,19.04516129032258
2024,4,April,51900615.01999999,2024-04-01,2024-04,6.206666666666667,186.20000000000002,9,23.34333333333333,15.376666666666667
2024,5,May,56628689.52,2024-05-01,2024-05,7.148387096774194,221.6,11,19.993548387096773,12.383870967741935
2024,6,June,50102141.98,2024-06-01,2024-06,10.38,311.40000000000003,10,17.52,9.29
2024,7,July,53222069.92999999,2024-07-01,2024-07,2.729032258064516,84.6,15,17.53548387096774,9.448387096774193
2024,8,August,57798536.36999998,2024-08-01,2024-08,0.8064516129032258,25.0,11,21.20967741935484,11.919354838709678
2024,9,September,54735748.09999999,2024-09-01,2024-09,1.4933333333333332,44.8,6,23.336666666666666,12.393333333333334
2024,10,October,58396478.580000006,2024-10-01,2024-10,1.2516129032258065,38.800000000000004,10,23.258064516129032,14.516129032258064
2024,11,November,55532304.46999999,2024-11-01,2024-11,4.466666666666667,134.0,11,26.490000000000002,18.189285714285713
2024,12,December,51576100.0,2024-12-01,2024-12,1.2516129032258065,38.800000000000004,7,28.70967741935484,19.44516129032258
2025,1,January,48377566.05,2025-01-01,2025-01,5.04516129032258,156.4,15,27.44516129032258,19.46333333333333
2025,2,February,53562417.829999976,2025-02-01,2025-02,1.9214285714285715,53.800000000000004,7,27.935714285714287,19.918518518518518
2025,3,March,60618732.650000006,2025-03-01,2025-03,4.006451612903226,124.2,16,27.586666666666666,19.825925925925926
2025,4,April,54225904.07,2025-04-01,2025-04,4.38,131.4,14,24.53666666666667,16.616666666666667
2025,5,May,56568669.49000001,2025-05-01,2025-05,6.870967741935484,213.0,21,20.80322580645161,13.919354838709678
2025,6,June,53908206.80000001,2025-06-01,2025-06,0.4799999999999999,14.399999999999999,7,17.85666666666667,8.553333333333335
2025,7,July,53994670.74000001,2025-07-01,2025-07,4.522580645161291,140.20000000000002,11,17.84193548387097,9.238709677419354
2025,8,August,55175780.51,2025-08-01,2025-08,11.025806451612903,341.8,18,17.873333333333335,10.716129032258063
