station_flow_id,year,station_id,station_name,morning_entries,morning_exits,midday_entries,midday_exits,evening_entries,evening_exits,night_entries,night_exits,total_entries,total_exits,total_flow,morning_total_flow,midday_total_flow,evening_total_flow,night_total_flow,peak_total_flow,entry_exit_imbalance,bottleneck_score,stop_lat,stop_lon,region,pressure_category
2023_beecroft,2023,beecroft,Beecroft Station,680,160,210,220,300,590,80,220,1270,1190,2460,840,430,890,300,1730,80,0.7032520325203252,-33.74927233,151.06660668,Southern Sydney,High Peak Pressure
2023_bella_vista,2023,bella_vista,Bella Vista Station,1190,420,360,290,650,1200,200,440,2400,2350,4750,1610,650,1850,640,3460,50,0.728421052631579,-33.73056616,150.94401959,Western Sydney,High Peak Pressure
2023_bellambi,2023,bellambi,Bellambi Station,0,0,0,0,0,0,0,0,90,60,150,0,0,0,0,0,30,0.0,-34.36264805,150.91011528,Western Sydney,Low Peak Pressure
2023_belmore,2023,belmore,Belmore Station,1050,160,430,350,390,840,270,550,2140,1900,4040,1210,780,1230,820,2440,240,0.6039603960396039,-33.91722531,151.08841509,Northern Sydney,Medium Peak Pressure
2023_berala,2023,berala,Berala Station,750,90,390,310,240,820,190,360,1570,1580,3150,840,700,1060,550,1900,-10,0.6031746031746031,-33.87178351,151.03252488,Western Sydney,Medium Peak Pressure
2023_beresfield,2023,beresfield,Beresfield Station,0,0,0,0,0,0,0,0,130,100,230,0,0,0,0,0,30,0.0,-32.79929092,151.6582626,Eastern Sydney,Low Peak Pressure
2023_berowra,2023,berowra,Berowra Station,780,70,130,110,140,650,50,150,1100,980,2080,850,240,790,200,1640,120,0.7884615384615384,-33.62338518,151.15323454,Southern Sydney,High Peak Pressure
2023_berry,2023,berry,Berry Station,0,0,0,0,0,0,0,0,40,60,100,0,0,0,0,0,-20,0.0,-34.78030845,150.696616,Western Sydney,Low Peak Pressure
2023_beverly_hills,2023,beverly_hills,Beverly Hills Station,850,130,300,190,270,740,160,420,1580,1480,3060,980,490,1010,580,1990,100,0.6503267973856209,-33.94912063,151.08086032,Northern Sydney,Medium Peak Pressure
2023_bexley_north,2023,bexley_north,Bexley North Station,590,70,170,140,150,500,100,250,1010,960,1970,660,310,650,350,1310,50,0.6649746192893401,-33.93750842,151.11377376,Northern Sydney,Medium Peak Pressure
2023_birrong,2023,birrong,Birrong Station,490,70,180,130,110,380,60,210,840,790,1630,560,310,490,270,1050,50,0.6441717791411042,-33.89258874,151.02427803,Western Sydney,Medium Peak Pressure
2023_blackheath,2023,blackheath,Blackheath Station,0,0,0,0,0,0,0,0,150,130,280,0,0,0,0,0,20,0.0,-33.63374163,150.28438143,Western Sydney,Low Peak Pressure
2023_blacktown,2023,blacktown,Blacktown Station,4790,3170,3500,3060,4050,5730,1970,2840,14310,14800,29110,7960,6560,9780,4810,17740,-490,0.6094125729989694,-33.76854404,150.90708043,Western Sydney,Medium Peak Pressure
2023_blaxland,2023,blaxland,Blaxland Station,250,40,60,60,70,230,50,80,430,410,840,290,120,300,130,590,20,0.7023809523809523,-33.74374219,150.60978672,Western Sydney,High Peak Pressure
2023_bomaderry,2023,bomaderry,Bomaderry Station,0,0,0,0,0,0,0,0,220,160,380,0,0,0,0,0,60,0.0,-34.85383874,150.6097542,Western Sydney,Low Peak Pressure
2023_bondi_junction,2023,bondi_junction,Bondi Junction Station,8130,4600,3640,4140,6410,8250,2250,3130,20430,20120,40550,12730,7780,14660,5380,27390,310,0.675462392108508,-33.89119702,151.24837675,Eastern Sydney,Medium Peak Pressure
2023_bowral,2023,bowral,Bowral Station,0,0,0,0,0,0,0,0,180,170,350,0,0,0,0,0,10,0.0,-34.47817984,150.41663309,Western Sydney,Low Peak Pressure
2023_broadmeadow,2023,broadmeadow,Broadmeadow Station,260,130,200,170,180,180,120,110,760,590,1350,390,370,360,230,750,170,0.5555555555555556,-32.92272405,151.73499102,Eastern Sydney,Medium Peak Pressure
2023_bullaburra,2023,bullaburra,Bullaburra Station,0,0,0,0,0,0,0,0,40,40,80,0,0,0,0,0,0,0.0,-33.72338686,150.41500219,Western Sydney,Low Peak Pressure
2023_bulli,2023,bulli,Bulli Station,0,0,0,0,0,0,0,0,150,130,280,0,0,0,0,0,20,0.0,-34.33443113,150.91475593,Western Sydney,Low Peak Pressure
2023_burwood,2023,burwood,Burwood Station,4500,2890,4110,3890,5090,6460,2870,3620,16570,16860,33430,7390,8000,11550,6490,18940,-290,0.5665569847442417,-33.87710168,151.10385716,Northern Sydney,Medium Peak Pressure
2023_cabramatta,2023,cabramatta,Cabramatta Station,2450,750,1920,1820,1350,2510,760,1310,6480,6390,12870,3200,3740,3860,2070,7060,90,0.5485625485625486,-33.89474039,150.93887636,Western Sydney,Medium Peak Pressure
2023_camellia,2023,camellia,Camellia Station,0,0,0,0,0,0,0,0,110,70,180,0,0,0,0,0,40,0.0,,,Unmatched / Unknown,Low Peak Pressure
2023_campbelltown,2023,campbelltown,Campbelltown Station,2540,740,830,810,940,2530,890,1040,5200,5120,10320,3280,1640,3470,1930,6750,80,0.6540697674418605,-34.06355569,150.81463149,Western Sydney,Medium Peak Pressure
2023_campsie,2023,campsie,Campsie Station,2550,860,1660,1370,1280,2560,860,1610,6350,6400,12750,3410,3030,3840,2470,7250,-50,0.5686274509803921,-33.91043503,151.10345755,Northern Sydney,Medium Peak Pressure
2023_canley_vale,2023,canley_vale,Canley Vale Station,1040,180,460,330,390,970,280,540,2170,2020,4190,1220,790,1360,820,2580,150,0.6157517899761337,-33.88732821,150.94353766,Western Sydney,Medium Peak Pressure
